NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS
;1669001;BURGER KING MANACOR;2;CAMPANA BROILER;OTROS  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;OTROS  ;COLECTOR FILTROS              ;L1N  ;1;1;1
;;;;;OTROS  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;4069003;BK 19469 - MAGALLUF;2;CAMPANA BROILER;PARED  ;CONDUCTO EXTRACCI‡N           ;L1N  ;1;1;1
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1N  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23052;B.K.16034 - BENICARLO * Costa Azahar;1;CAMPANA FRANKE FREIDO + BROILE;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;2;2;4
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;2;1;2
;;;;;PARED  ;FREIDORA                      ;L230 ;4;2;8
;;;;;PARED  ;BROILER                       ;L2W  ;2;2;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;4142;REST. EL FILANDON;4;CAMPANA PARED 2¶ PLANTA;PARED  ;CONDUCTO EXTRACCI‡N           ;ADP  ;2;1;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;ADP  ;4;1;4
;;;;;PARED  ;FOGON PAELLERO                ;R    ;1;1;1
;;;;;PARED  ;FOGON PAELLERO                ;R    ;1;1;1
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
